RefSeqID	GOTerm	Description
NM_001136	GO:0050877	nervous system process
NM_001136	GO:0038024	cargo receptor activity
NM_001136	GO:0098631	cell adhesion mediator activity
NM_001136	GO:0048870	cell motility
NM_172197	GO:0043226	organelle
NM_172197	GO:0005634	nucleus
NM_172197	GO:0005730	nucleolus
NM_172197	GO:0005886	plasma membrane
NM_172197	GO:0005576	extracellular region
NM_172197	GO:0006954	inflammatory response
NM_172197	GO:0016192	vesicle-mediated transport
NM_172197	GO:0060089	molecular transducer activity
NM_172197	GO:0006351	DNA-templated transcription
NM_172197	GO:0006355	regulation of DNA-templated transcription
NM_172197	GO:0002376	immune system process
NM_172197	GO:0048856	anatomical structure development
NM_172197	GO:0030154	cell differentiation
NM_172197	GO:0023052	signaling
NM_172197	GO:0060090	molecular adaptor activity
NM_172197	GO:0003013	circulatory system process
NM_172197	GO:0036211	protein modification process
NM_172197	GO:0007155	cell adhesion
NM_172197	GO:0050877	nervous system process
NM_172197	GO:0038024	cargo receptor activity
NM_172197	GO:0098631	cell adhesion mediator activity
NM_172197	GO:0048870	cell motility
NM_001206954	GO:0043226	organelle
NM_001206954	GO:0005634	nucleus
NM_001206954	GO:0005730	nucleolus
NM_001206954	GO:0005886	plasma membrane
NM_001206954	GO:0005576	extracellular region
NM_001206954	GO:0006954	inflammatory response
NM_001206954	GO:0016192	vesicle-mediated transport
NM_001206954	GO:0060089	molecular transducer activity
NM_001206954	GO:0006351	DNA-templated transcription
NM_001206954	GO:0006355	regulation of DNA-templated transcription
NM_001206954	GO:0002376	immune system process
NM_001206954	GO:0048856	anatomical structure development
NM_001206954	GO:0030154	cell differentiation
NM_001206954	GO:0023052	signaling
NM_001206954	GO:0060090	molecular adaptor activity
NM_001206954	GO:0003013	circulatory system process
NM_001206954	GO:0036211	protein modification process
NM_001206954	GO:0007155	cell adhesion
NM_001206954	GO:0050877	nervous system process
NM_001206954	GO:0038024	cargo receptor activity
NM_001206954	GO:0098631	cell adhesion mediator activity
NM_001206954	GO:0048870	cell motility
NM_001206936	GO:0043226	organelle
NM_001206936	GO:0005634	nucleus
NM_001206936	GO:0005730	nucleolus
NM_001206936	GO:0005886	plasma membrane
NM_001206936	GO:0005576	extracellular region
NM_001206936	GO:0006954	inflammatory response
NM_001206936	GO:0016192	vesicle-mediated transport
NM_001206936	GO:0060089	molecular transducer activity
NM_001206936	GO:0006351	DNA-templated transcription
NM_001206936	GO:0006355	regulation of DNA-templated transcription
NM_001206936	GO:0002376	immune system process
NM_001206936	GO:0048856	anatomical structure development
NM_001206936	GO:0030154	cell differentiation
NM_001206936	GO:0023052	signaling
NM_001206936	GO:0060090	molecular adaptor activity
NM_001206936	GO:0003013	circulatory system process
NM_001206936	GO:0036211	protein modification process
NM_001206936	GO:0007155	cell adhesion
NM_001206936	GO:0050877	nervous system process
NM_001206936	GO:0038024	cargo receptor activity
NM_001206936	GO:0098631	cell adhesion mediator activity
NM_001206936	GO:0048870	cell motility
NM_001206966	GO:0043226	organelle
NM_001206966	GO:0005634	nucleus
NM_001206966	GO:0005730	nucleolus
NM_001206966	GO:0005886	plasma membrane
NM_001206966	GO:0005576	extracellular region
NM_001206966	GO:0006954	inflammatory response
NM_001206966	GO:0016192	vesicle-mediated transport
NM_001206966	GO:0060089	molecular transducer activity
NM_001206966	GO:0006351	DNA-templated transcription
NM_001206966	GO:0006355	regulation of DNA-templated transcription
NM_001206966	GO:0002376	immune system process
NM_001206966	GO:0048856	anatomical structure development
NM_001206966	GO:0030154	cell differentiation
NM_001206966	GO:0023052	signaling
NM_001206966	GO:0060090	molecular adaptor activity
NM_001206966	GO:0003013	circulatory system process
NM_001206966	GO:0036211	protein modification process
NM_001206966	GO:0007155	cell adhesion
NM_001206966	GO:0050877	nervous system process
NM_001206966	GO:0038024	cargo receptor activity
NM_001206966	GO:0098631	cell adhesion mediator activity
NM_001206966	GO:0048870	cell motility
NM_001206940	GO:0043226	organelle
NM_001206940	GO:0005634	nucleus
NM_001206940	GO:0005730	nucleolus
NM_001206940	GO:0005886	plasma membrane
NM_001206940	GO:0005576	extracellular region
NM_001206940	GO:0006954	inflammatory response
NM_001206940	GO:0016192	vesicle-mediated transport
NM_001206940	GO:0060089	molecular transducer activity
NM_001206940	GO:0006351	DNA-templated transcription
NM_001206940	GO:0006355	regulation of DNA-templated transcription
NM_001206940	GO:0002376	immune system process
NM_001206940	GO:0048856	anatomical structure development
NM_001206940	GO:0030154	cell differentiation
NM_001206940	GO:0023052	signaling
NM_001206940	GO:0060090	molecular adaptor activity
NM_001206940	GO:0003013	circulatory system process
NM_001206940	GO:0036211	protein modification process
NM_001206940	GO:0007155	cell adhesion
NM_001206940	GO:0050877	nervous system process
NM_001206940	GO:0038024	cargo receptor activity
NM_001206940	GO:0098631	cell adhesion mediator activity
NM_001206940	GO:0048870	cell motility
	GO:0005730	nucleolus
NM_001206929	GO:0043226	organelle
NM_001206929	GO:0005634	nucleus
NM_001206929	GO:0005730	nucleolus
NM_001206929	GO:0005886	plasma membrane
NM_001206929	GO:0005576	extracellular region
NM_001206929	GO:0006954	inflammatory response
NM_001206929	GO:0016192	vesicle-mediated transport
NM_001206929	GO:0060089	molecular transducer activity
NM_001206929	GO:0006351	DNA-templated transcription
NM_001206929	GO:0006355	regulation of DNA-templated transcription
NM_001206929	GO:0002376	immune system process
NM_001206929	GO:0048856	anatomical structure development
NM_001206929	GO:0030154	cell differentiation
NM_001206929	GO:0023052	signaling
NM_001206929	GO:0060090	molecular adaptor activity
NM_001206929	GO:0003013	circulatory system process
NM_001206929	GO:0036211	protein modification process
NM_001206929	GO:0007155	cell adhesion
NM_001206929	GO:0050877	nervous system process
NM_001206929	GO:0038024	cargo receptor activity
NM_001206929	GO:0098631	cell adhesion mediator activity
NM_001206929	GO:0048870	cell motility
NM_001206934	GO:0043226	organelle
NM_001206934	GO:0005634	nucleus
NM_001206934	GO:0005730	nucleolus
NM_001206934	GO:0005886	plasma membrane
NM_001206934	GO:0005576	extracellular region
NM_001206934	GO:0006954	inflammatory response
NM_001206934	GO:0016192	vesicle-mediated transport
NM_001206934	GO:0060089	molecular transducer activity
NM_001206934	GO:0006351	DNA-templated transcription
NM_001206934	GO:0006355	regulation of DNA-templated transcription
NM_001206934	GO:0002376	immune system process
NM_001206934	GO:0048856	anatomical structure development
NM_001206934	GO:0030154	cell differentiation
NM_001206934	GO:0023052	signaling
NM_001206934	GO:0060090	molecular adaptor activity
NM_001206934	GO:0003013	circulatory system process
NM_001206934	GO:0036211	protein modification process
NM_001206934	GO:0007155	cell adhesion
NM_001206934	GO:0050877	nervous system process
NM_001206934	GO:0038024	cargo receptor activity
NM_001206934	GO:0098631	cell adhesion mediator activity
NM_001206934	GO:0048870	cell motility
	GO:0036211	protein modification process
	GO:0016740	transferase activity
	GO:0012501	programmed cell death
	GO:0048856	anatomical structure development
	GO:0030154	cell differentiation
	GO:0005856	cytoskeleton
	GO:0005975	carbohydrate metabolic process
	GO:0006091	generation of precursor metabolites and energy
	GO:0006886	intracellular protein transport
	GO:0006913	nucleocytoplasmic transport
	GO:0002376	immune system process
	GO:0098542	defense response to other organism
	GO:0048870	cell motility
	GO:0008289	lipid binding
	GO:0006355	regulation of DNA-templated transcription
	GO:0007155	cell adhesion
	GO:0072659	protein localization to plasma membrane
	GO:0044782	cilium organization
	GO:0007005	mitochondrion organization
	GO:0006629	lipid metabolic process
	GO:0000278	mitotic cell cycle
	GO:0055085	transmembrane transport
	GO:0050877	nervous system process
	GO:0016071	mRNA metabolic process
	GO:0006914	autophagy
	GO:0006399	tRNA metabolic process
NM_001014431	GO:0036211	protein modification process
NM_001014431	GO:0003824	catalytic activity
NM_001014431	GO:0016740	transferase activity
NM_001014431	GO:0140096	catalytic activity, acting on a protein
NM_001014431	GO:0043226	organelle
NM_001014431	GO:0005634	nucleus
NM_001014431	GO:0005654	nucleoplasm
NM_001014431	GO:0005886	plasma membrane
NM_001014431	GO:0023052	signaling
NM_001014431	GO:0012501	programmed cell death
NM_001014431	GO:0005829	cytosol
NM_001014431	GO:0048856	anatomical structure development
NM_001014431	GO:0030154	cell differentiation
NM_001014431	GO:0005856	cytoskeleton
NM_001014431	GO:0005975	carbohydrate metabolic process
NM_001014431	GO:0006091	generation of precursor metabolites and energy
NM_001014431	GO:0006886	intracellular protein transport
NM_001014431	GO:0006913	nucleocytoplasmic transport
NM_001014431	GO:0002376	immune system process
NM_001014431	GO:0098542	defense response to other organism
NM_001014431	GO:0048870	cell motility
NM_001014431	GO:0008289	lipid binding
NM_001014431	GO:0006351	DNA-templated transcription
NM_001014431	GO:0006355	regulation of DNA-templated transcription
NM_001014431	GO:0007155	cell adhesion
NM_001014431	GO:0072659	protein localization to plasma membrane
NM_001014431	GO:0044782	cilium organization
NM_001014431	GO:0098772	molecular function regulator activity
NM_001014431	GO:0007005	mitochondrion organization
NM_001014431	GO:0006629	lipid metabolic process
NM_001014431	GO:0030163	protein catabolic process
NM_001014431	GO:0000278	mitotic cell cycle
NM_001014431	GO:0055085	transmembrane transport
NM_001014431	GO:0050877	nervous system process
NM_001014431	GO:0016071	mRNA metabolic process
NM_001014431	GO:0006914	autophagy
NM_001014431	GO:0006399	tRNA metabolic process
NM_001382431	GO:0036211	protein modification process
NM_001382431	GO:0003824	catalytic activity
NM_001382431	GO:0016740	transferase activity
NM_001382431	GO:0140096	catalytic activity, acting on a protein
NM_001382431	GO:0043226	organelle
NM_001382431	GO:0005634	nucleus
NM_001382431	GO:0005654	nucleoplasm
NM_001382431	GO:0005886	plasma membrane
NM_001382431	GO:0023052	signaling
NM_001382431	GO:0012501	programmed cell death
NM_001382431	GO:0005829	cytosol
NM_001382431	GO:0048856	anatomical structure development
NM_001382431	GO:0030154	cell differentiation
NM_001382431	GO:0005856	cytoskeleton
NM_001382431	GO:0005975	carbohydrate metabolic process
NM_001382431	GO:0006091	generation of precursor metabolites and energy
NM_001382431	GO:0006886	intracellular protein transport
NM_001382431	GO:0006913	nucleocytoplasmic transport
NM_001382431	GO:0002376	immune system process
NM_001382431	GO:0098542	defense response to other organism
NM_001382431	GO:0048870	cell motility
NM_001382431	GO:0008289	lipid binding
NM_001382431	GO:0006351	DNA-templated transcription
NM_001382431	GO:0006355	regulation of DNA-templated transcription
NM_001382431	GO:0007155	cell adhesion
NM_001382431	GO:0072659	protein localization to plasma membrane
NM_001382431	GO:0044782	cilium organization
NM_001382431	GO:0098772	molecular function regulator activity
NM_001382431	GO:0007005	mitochondrion organization
NM_001382431	GO:0006629	lipid metabolic process
NM_001382431	GO:0030163	protein catabolic process
NM_001382431	GO:0000278	mitotic cell cycle
NM_001382431	GO:0055085	transmembrane transport
NM_001382431	GO:0050877	nervous system process
NM_001382431	GO:0016071	mRNA metabolic process
NM_001382431	GO:0006914	autophagy
NM_001382431	GO:0006399	tRNA metabolic process
NM_001382430	GO:0036211	protein modification process
NM_001382430	GO:0003824	catalytic activity
NM_001382430	GO:0016740	transferase activity
NM_001382430	GO:0140096	catalytic activity, acting on a protein
NM_001382430	GO:0043226	organelle
NM_001382430	GO:0005634	nucleus
NM_001382430	GO:0005654	nucleoplasm
NM_001382430	GO:0005886	plasma membrane
NM_001382430	GO:0023052	signaling
NM_001382430	GO:0012501	programmed cell death
NM_001382430	GO:0005829	cytosol
NM_001382430	GO:0048856	anatomical structure development
NM_001382430	GO:0030154	cell differentiation
NM_001382430	GO:0005856	cytoskeleton
NM_001382430	GO:0005975	carbohydrate metabolic process
NM_001382430	GO:0006091	generation of precursor metabolites and energy
NM_001382430	GO:0006886	intracellular protein transport
NM_001382430	GO:0006913	nucleocytoplasmic transport
NM_001382430	GO:0002376	immune system process
NM_001382430	GO:0098542	defense response to other organism
NM_001382430	GO:0048870	cell motility
NM_001382430	GO:0008289	lipid binding
NM_001382430	GO:0022414	reproductive process
NM_001382430	GO:0006954	inflammatory response
NM_001382430	GO:0007005	mitochondrion organization
NM_001382430	GO:0030163	protein catabolic process
NM_001382430	GO:0061024	membrane organization
NM_001382430	GO:0006351	DNA-templated transcription
NM_001382430	GO:0006355	regulation of DNA-templated transcription
NM_001382430	GO:0034330	cell junction organization
NM_001382430	GO:0005739	mitochondrion
NM_001382430	GO:0005815	microtubule organizing center
NM_001382430	GO:0005929	cilium
NM_001382430	GO:0007155	cell adhesion
NM_001382430	GO:0072659	protein localization to plasma membrane
NM_001382430	GO:0044782	cilium organization
NM_001382430	GO:0098772	molecular function regulator activity
NM_001382430	GO:0006629	lipid metabolic process
NM_001382430	GO:0000278	mitotic cell cycle
NM_001382430	GO:0055085	transmembrane transport
NM_001382430	GO:0050877	nervous system process
NM_001382430	GO:0016071	mRNA metabolic process
NM_001382430	GO:0006914	autophagy
NM_001382430	GO:0006399	tRNA metabolic process
NM_001382433	GO:0036211	protein modification process
NM_001382433	GO:0003824	catalytic activity
NM_001382433	GO:0016740	transferase activity
NM_001382433	GO:0140096	catalytic activity, acting on a protein
NM_001382433	GO:0043226	organelle
NM_001382433	GO:0005634	nucleus
NM_001382433	GO:0005654	nucleoplasm
NM_001382433	GO:0005886	plasma membrane
NM_001382433	GO:0023052	signaling
NM_001382433	GO:0012501	programmed cell death
NM_001382433	GO:0005829	cytosol
NM_001382433	GO:0048856	anatomical structure development
NM_001382433	GO:0030154	cell differentiation
NM_001382433	GO:0005856	cytoskeleton
NM_001382433	GO:0005975	carbohydrate metabolic process
NM_001382433	GO:0006091	generation of precursor metabolites and energy
NM_001382433	GO:0006886	intracellular protein transport
NM_001382433	GO:0006913	nucleocytoplasmic transport
NM_001382433	GO:0002376	immune system process
NM_001382433	GO:0098542	defense response to other organism
NM_001382433	GO:0048870	cell motility
NM_001382433	GO:0008289	lipid binding
NM_001382433	GO:0022414	reproductive process
NM_001382433	GO:0006954	inflammatory response
NM_001382433	GO:0007005	mitochondrion organization
NM_001382433	GO:0030163	protein catabolic process
NM_001382433	GO:0061024	membrane organization
NM_001382433	GO:0006351	DNA-templated transcription
NM_001382433	GO:0006355	regulation of DNA-templated transcription
NM_001382433	GO:0034330	cell junction organization
NM_001382433	GO:0005739	mitochondrion
NM_001382433	GO:0005815	microtubule organizing center
NM_001382433	GO:0005929	cilium
NM_001382433	GO:0007155	cell adhesion
NM_001382433	GO:0072659	protein localization to plasma membrane
NM_001382433	GO:0044782	cilium organization
NM_001382433	GO:0098772	molecular function regulator activity
NM_001382433	GO:0006629	lipid metabolic process
NM_001382433	GO:0000278	mitotic cell cycle
NM_001382433	GO:0055085	transmembrane transport
NM_001382433	GO:0050877	nervous system process
NM_001382433	GO:0016071	mRNA metabolic process
NM_001382433	GO:0006914	autophagy
NM_001382433	GO:0006399	tRNA metabolic process
NM_001014432	GO:0036211	protein modification process
NM_001014432	GO:0003824	catalytic activity
NM_001014432	GO:0016740	transferase activity
NM_001014432	GO:0140096	catalytic activity, acting on a protein
NM_001014432	GO:0043226	organelle
NM_001014432	GO:0005634	nucleus
NM_001014432	GO:0005654	nucleoplasm
NM_001014432	GO:0005886	plasma membrane
NM_001014432	GO:0023052	signaling
NM_001014432	GO:0012501	programmed cell death
NM_001014432	GO:0005829	cytosol
NM_001014432	GO:0048856	anatomical structure development
NM_001014432	GO:0030154	cell differentiation
NM_001014432	GO:0005856	cytoskeleton
NM_001014432	GO:0005975	carbohydrate metabolic process
NM_001014432	GO:0006091	generation of precursor metabolites and energy
NM_001014432	GO:0006886	intracellular protein transport
NM_001014432	GO:0006913	nucleocytoplasmic transport
NM_001014432	GO:0002376	immune system process
NM_001014432	GO:0098542	defense response to other organism
NM_001014432	GO:0048870	cell motility
NM_001014432	GO:0008289	lipid binding
NM_001014432	GO:0006351	DNA-templated transcription
NM_001014432	GO:0006355	regulation of DNA-templated transcription
NM_001014432	GO:0007155	cell adhesion
NM_001014432	GO:0072659	protein localization to plasma membrane
NM_001014432	GO:0044782	cilium organization
NM_001014432	GO:0098772	molecular function regulator activity
NM_001014432	GO:0007005	mitochondrion organization
NM_001014432	GO:0006629	lipid metabolic process
NM_001014432	GO:0030163	protein catabolic process
NM_001014432	GO:0000278	mitotic cell cycle
NM_001014432	GO:0055085	transmembrane transport
NM_001014432	GO:0050877	nervous system process
NM_001014432	GO:0016071	mRNA metabolic process
NM_001014432	GO:0006914	autophagy
NM_001014432	GO:0006399	tRNA metabolic process
NM_001382432	GO:0036211	protein modification process
NM_001382432	GO:0003824	catalytic activity
NM_001382432	GO:0016740	transferase activity
NM_001382432	GO:0140096	catalytic activity, acting on a protein
NM_001382432	GO:0043226	organelle
NM_001382432	GO:0005634	nucleus
NM_001382432	GO:0005654	nucleoplasm
NM_001382432	GO:0005886	plasma membrane
NM_001382432	GO:0023052	signaling
NM_001382432	GO:0012501	programmed cell death
NM_001382432	GO:0005829	cytosol
NM_001382432	GO:0048856	anatomical structure development
NM_001382432	GO:0030154	cell differentiation
NM_001382432	GO:0005856	cytoskeleton
NM_001382432	GO:0005975	carbohydrate metabolic process
NM_001382432	GO:0006091	generation of precursor metabolites and energy
NM_001382432	GO:0006886	intracellular protein transport
NM_001382432	GO:0006913	nucleocytoplasmic transport
NM_001382432	GO:0002376	immune system process
NM_001382432	GO:0098542	defense response to other organism
NM_001382432	GO:0048870	cell motility
NM_001382432	GO:0008289	lipid binding
NM_001382432	GO:0006351	DNA-templated transcription
NM_001382432	GO:0006355	regulation of DNA-templated transcription
NM_001382432	GO:0007155	cell adhesion
NM_001382432	GO:0072659	protein localization to plasma membrane
NM_001382432	GO:0044782	cilium organization
NM_001382432	GO:0098772	molecular function regulator activity
NM_001382432	GO:0007005	mitochondrion organization
NM_001382432	GO:0006629	lipid metabolic process
NM_001382432	GO:0030163	protein catabolic process
NM_001382432	GO:0000278	mitotic cell cycle
NM_001382432	GO:0055085	transmembrane transport
NM_001382432	GO:0050877	nervous system process
NM_001382432	GO:0016071	mRNA metabolic process
NM_001382432	GO:0006914	autophagy
NM_001382432	GO:0006399	tRNA metabolic process
NM_005163	GO:0036211	protein modification process
NM_005163	GO:0003824	catalytic activity
NM_005163	GO:0016740	transferase activity
NM_005163	GO:0140096	catalytic activity, acting on a protein
NM_005163	GO:0043226	organelle
NM_005163	GO:0005634	nucleus
NM_005163	GO:0005654	nucleoplasm
NM_005163	GO:0005886	plasma membrane
NM_005163	GO:0023052	signaling
NM_005163	GO:0012501	programmed cell death
NM_005163	GO:0005829	cytosol
NM_005163	GO:0048856	anatomical structure development
NM_005163	GO:0030154	cell differentiation
NM_005163	GO:0005856	cytoskeleton
NM_005163	GO:0005975	carbohydrate metabolic process
NM_005163	GO:0006091	generation of precursor metabolites and energy
NM_005163	GO:0006886	intracellular protein transport
NM_005163	GO:0006913	nucleocytoplasmic transport
NM_005163	GO:0002376	immune system process
NM_005163	GO:0098542	defense response to other organism
NM_005163	GO:0048870	cell motility
NM_005163	GO:0008289	lipid binding
NM_005163	GO:0006351	DNA-templated transcription
NM_005163	GO:0006355	regulation of DNA-templated transcription
NM_005163	GO:0007155	cell adhesion
NM_005163	GO:0072659	protein localization to plasma membrane
NM_005163	GO:0044782	cilium organization
NM_005163	GO:0098772	molecular function regulator activity
NM_005163	GO:0007005	mitochondrion organization
NM_005163	GO:0006629	lipid metabolic process
NM_005163	GO:0030163	protein catabolic process
NM_005163	GO:0000278	mitotic cell cycle
NM_005163	GO:0055085	transmembrane transport
NM_005163	GO:0050877	nervous system process
NM_005163	GO:0016071	mRNA metabolic process
NM_005163	GO:0006914	autophagy
NM_005163	GO:0006399	tRNA metabolic process
NM_001626	GO:0036211	protein modification process
NM_001626	GO:0003824	catalytic activity
NM_001626	GO:0016740	transferase activity
NM_001626	GO:0140096	catalytic activity, acting on a protein
NM_001626	GO:0043226	organelle
NM_001626	GO:0005634	nucleus
NM_001626	GO:0031410	cytoplasmic vesicle
NM_001626	GO:0005768	endosome
NM_001626	GO:0005654	nucleoplasm
NM_001626	GO:0005829	cytosol
NM_001626	GO:0005886	plasma membrane
NM_001626	GO:0023052	signaling
NM_001626	GO:0012501	programmed cell death
NM_001626	GO:0005975	carbohydrate metabolic process
NM_001626	GO:0006091	generation of precursor metabolites and energy
NM_001626	GO:0006886	intracellular protein transport
NM_001626	GO:0030154	cell differentiation
NM_001626	GO:0048870	cell motility
NM_001626	GO:0098772	molecular function regulator activity
NM_001626	GO:0048856	anatomical structure development
NM_001626	GO:0055085	transmembrane transport
NM_001626	GO:0006629	lipid metabolic process
NM_001626	GO:0061024	membrane organization
NM_001626	GO:0072659	protein localization to plasma membrane
NM_001330511	GO:0036211	protein modification process
NM_001330511	GO:0003824	catalytic activity
NM_001330511	GO:0016740	transferase activity
NM_001330511	GO:0140096	catalytic activity, acting on a protein
NM_001330511	GO:0043226	organelle
