#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ATRX	FMR1	9606.ENSP00000362441	9606.ENSP00000359506	0	0	0	0	0.217	0.071	0	0.321	0.463
ATRX	SOX3	9606.ENSP00000362441	9606.ENSP00000359567	0	0	0	0	0.064	0.046	0	0.524	0.539
ATRX	PTEN	9606.ENSP00000362441	9606.ENSP00000361021	0	0	0	0	0.049	0.076	0	0.769	0.779
ATRX	WWOX	9606.ENSP00000362441	9606.ENSP00000457230	0	0	0	0	0.070	0.262	0	0.195	0.400
ATRX	EHMT1	9606.ENSP00000362441	9606.ENSP00000417980	0	0	0	0	0.154	0.112	0	0.271	0.405
ATRX	FGFR1	9606.ENSP00000362441	9606.ENSP00000393312	0	0	0	0	0.055	0.045	0	0.450	0.460
ATRX	HDAC8	9606.ENSP00000362441	9606.ENSP00000362674	0	0	0	0	0.227	0.125	0	0.273	0.465
ATRX	MED12	9606.ENSP00000362441	9606.ENSP00000363193	0	0	0	0	0.099	0.071	0	0.421	0.473
ATRX	CNKSR2	9606.ENSP00000362441	9606.ENSP00000368824	0	0	0	0	0.130	0	0	0.452	0.503
ATRX	KDM5C	9606.ENSP00000362441	9606.ENSP00000364550	0	0	0	0	0.098	0.095	0	0.484	0.542
AUTS2	DYRK1A	9606.ENSP00000344087	9606.ENSP00000340373	0	0	0	0	0	0	0	0.788	0.788
AUTS2	TBR1	9606.ENSP00000344087	9606.ENSP00000374205	0	0	0	0	0	0	0	0.488	0.488
AUTS2	NLGN4X	9606.ENSP00000344087	9606.ENSP00000370483	0	0	0	0	0.082	0	0	0.629	0.644
AUTS2	SHANK3	9606.ENSP00000344087	9606.ENSP00000489407	0	0	0	0	0.045	0	0	0.727	0.729
BCKDK	MAOA	9606.ENSP00000378405	9606.ENSP00000340684	0	0	0	0	0.393	0	0	0.102	0.431
BRD4	YY1	9606.ENSP00000263377	9606.ENSP00000262238	0	0	0	0	0.101	0.305	0	0.398	0.591
BRD4	CREBBP	9606.ENSP00000263377	9606.ENSP00000262367	0	0	0	0.550	0.194	0.311	0	0.519	0.710
BRD4	FMR1	9606.ENSP00000263377	9606.ENSP00000359506	0	0	0	0	0.108	0.292	0	0.157	0.421
BRD4	NFIB	9606.ENSP00000263377	9606.ENSP00000370340	0	0	0	0	0.059	0.292	0	0.201	0.421
BRD4	SOX2	9606.ENSP00000263377	9606.ENSP00000323588	0	0	0	0	0	0	0	0.437	0.437
BRD4	HDAC8	9606.ENSP00000263377	9606.ENSP00000362674	0	0	0	0	0.060	0.071	0	0.414	0.444
BRD4	MED13L	9606.ENSP00000263377	9606.ENSP00000281928	0	0	0	0	0.130	0.292	0	0.209	0.470
BRD4	EHMT1	9606.ENSP00000263377	9606.ENSP00000417980	0	0	0	0	0.085	0.314	0	0.240	0.482
BRD4	CLTC	9606.ENSP00000263377	9606.ENSP00000479606	0	0	0	0	0.049	0.510	0	0.053	0.520
BRD4	SIN3A	9606.ENSP00000263377	9606.ENSP00000378402	0	0	0	0	0.108	0.305	0	0.293	0.524
BRD4	PTEN	9606.ENSP00000263377	9606.ENSP00000361021	0	0	0	0	0.085	0.162	0	0.444	0.536
BRD4	HDAC4	9606.ENSP00000263377	9606.ENSP00000264606	0	0	0	0	0.053	0.071	0	0.534	0.554
BRD4	KDM5C	9606.ENSP00000263377	9606.ENSP00000364550	0	0	0	0	0.087	0.422	0	0.301	0.599
BRD4	SMC3	9606.ENSP00000263377	9606.ENSP00000354720	0	0	0	0	0.080	0.314	0	0.439	0.615
BRD4	RAD21	9606.ENSP00000263377	9606.ENSP00000297338	0	0	0	0	0.083	0.325	0	0.458	0.635
BRD4	MED12	9606.ENSP00000263377	9606.ENSP00000363193	0	0	0	0	0.084	0.516	0	0.422	0.721
BRD4	SMC1A	9606.ENSP00000263377	9606.ENSP00000323421	0	0	0	0	0.111	0.644	0	0.578	0.855
BRD4	NIPBL	9606.ENSP00000263377	9606.ENSP00000282516	0	0	0	0	0.100	0.510	0	0.896	0.950
CACNA1A	CACNA1C	9606.ENSP00000489829	9606.ENSP00000266376	0	0	0.099	0.854	0.078	0.109	0.900	0.458	0.952
CACNA1A	PDE4D	9606.ENSP00000489829	9606.ENSP00000345502	0	0	0	0	0.057	0	0.540	0.321	0.680
CACNA1A	FMR1	9606.ENSP00000489829	9606.ENSP00000359506	0	0	0	0	0	0	0	0.419	0.418
CACNA1A	CACNA1B	9606.ENSP00000489829	9606.ENSP00000360423	0	0	0.057	0.961	0.155	0	0.900	0.396	0.945
CACNA1A	KCNB1	9606.ENSP00000489829	9606.ENSP00000360806	0	0	0	0	0.202	0.070	0	0.461	0.565
CACNA1A	DNM1	9606.ENSP00000489829	9606.ENSP00000362014	0	0	0	0	0.128	0.053	0	0.506	0.556
CACNA1A	STXBP1	9606.ENSP00000489829	9606.ENSP00000362399	0	0	0	0	0.092	0	0	0.504	0.531
CACNA1A	GABRG2	9606.ENSP00000489829	9606.ENSP00000410732	0	0	0	0	0.182	0	0	0.414	0.501
CACNA1A	KCNA2	9606.ENSP00000489829	9606.ENSP00000487785	0	0	0	0	0.142	0.094	0	0.530	0.603
CACNA1B	CACNA1C	9606.ENSP00000360423	9606.ENSP00000266376	0	0	0.099	0.857	0.091	0.109	0.540	0.387	0.756
CACNA1B	PDE4D	9606.ENSP00000360423	9606.ENSP00000345502	0	0	0	0	0.057	0	0.540	0.103	0.576
CACNA1B	KCNB1	9606.ENSP00000360423	9606.ENSP00000360806	0	0	0	0	0.103	0.070	0	0.457	0.507
CACNA1B	IL1RAPL1	9606.ENSP00000360423	9606.ENSP00000368278	0	0	0	0	0.060	0	0	0.549	0.557
CACNA1B	KCNA2	9606.ENSP00000360423	9606.ENSP00000487785	0	0	0	0	0.145	0.094	0	0.531	0.605
CACNA1B	EHMT1	9606.ENSP00000360423	9606.ENSP00000417980	0	0	0	0	0.058	0	0	0.680	0.685
CACNA1C	HDAC4	9606.ENSP00000266376	9606.ENSP00000264606	0	0	0	0	0.042	0.292	0	0.188	0.401
CACNA1C	FMR1	9606.ENSP00000266376	9606.ENSP00000359506	0	0	0	0	0	0	0	0.418	0.418
CACNA1C	PRKAR1A	9606.ENSP00000266376	9606.ENSP00000376475	0	0	0	0	0.056	0	0	0.415	0.425
CACNA1C	SLC1A2	9606.ENSP00000266376	9606.ENSP00000278379	0	0	0	0	0.109	0	0	0.394	0.437
CACNA1C	FGF12	9606.ENSP00000266376	9606.ENSP00000413496	0	0	0	0	0.042	0.138	0	0.378	0.441
CACNA1C	DPYD	9606.ENSP00000266376	9606.ENSP00000359211	0	0	0	0	0	0	0	0.460	0.460
CACNA1C	CHD7	9606.ENSP00000266376	9606.ENSP00000392028	0	0	0	0	0	0.091	0	0.469	0.496
CACNA1C	SHANK3	9606.ENSP00000266376	9606.ENSP00000489407	0	0	0	0	0.049	0.094	0	0.475	0.508
CACNA1C	KCNA2	9606.ENSP00000266376	9606.ENSP00000487785	0	0	0	0	0.090	0.094	0	0.506	0.557
CACNA1C	STXBP1	9606.ENSP00000266376	9606.ENSP00000362399	0	0	0	0	0.102	0	0.400	0.260	0.567
CACNA1C	PDE4D	9606.ENSP00000266376	9606.ENSP00000345502	0	0	0	0	0.075	0	0.540	0.267	0.661
CACNA1C	KCNB1	9606.ENSP00000266376	9606.ENSP00000360806	0	0	0	0	0.071	0.249	0	0.595	0.693
CACNA1C	PPP3CA	9606.ENSP00000266376	9606.ENSP00000378323	0	0	0	0	0.058	0.095	0.900	0.238	0.926
CDK19	CREBBP	9606.ENSP00000357907	9606.ENSP00000262367	0	0	0	0	0.054	0	0.500	0.116	0.545
CDK19	MED13L	9606.ENSP00000357907	9606.ENSP00000281928	0	0	0	0	0.049	0.869	0.800	0.921	0.997
CDK19	MED12	9606.ENSP00000357907	9606.ENSP00000363193	0	0	0	0	0.056	0.994	0.800	0.990	0.999
CELF2	DMPK	9606.ENSP00000488422	9606.ENSP00000345997	0	0	0	0	0	0.046	0	0.662	0.663
CHD7	PROKR2	9606.ENSP00000392028	9606.ENSP00000217270	0	0	0	0	0.042	0	0	0.856	0.856
CHD7	CREBBP	9606.ENSP00000392028	9606.ENSP00000262367	0	0	0	0	0.148	0.066	0	0.312	0.405
CHD7	NIPBL	9606.ENSP00000392028	9606.ENSP00000282516	0	0	0	0	0.146	0.105	0	0.551	0.627
CHD7	SOX2	9606.ENSP00000392028	9606.ENSP00000323588	0	0	0	0	0.077	0.607	0	0.644	0.860
CHD7	FTSJ1	9606.ENSP00000392028	9606.ENSP00000326948	0	0	0	0	0	0.061	0	0.403	0.415
CHD7	SIN3A	9606.ENSP00000392028	9606.ENSP00000378402	0	0	0	0	0.099	0.114	0	0.456	0.528
CHD7	OTX2	9606.ENSP00000392028	9606.ENSP00000500595	0	0	0	0	0.060	0	0	0.403	0.414
CHD7	HESX1	9606.ENSP00000392028	9606.ENSP00000498190	0	0	0	0	0	0.071	0	0.516	0.531
CHD7	FGFR1	9606.ENSP00000392028	9606.ENSP00000393312	0	0	0	0	0.049	0.053	0	0.713	0.719
CLTC	PIK3CA	9606.ENSP00000479606	9606.ENSP00000263967	0	0	0	0	0.065	0.140	0.500	0.152	0.613
CLTC	NONO	9606.ENSP00000479606	9606.ENSP00000276079	0	0	0	0	0.049	0	0	0.530	0.533
CLTC	YWHAG	9606.ENSP00000479606	9606.ENSP00000306330	0	0	0	0	0.231	0.102	0	0.213	0.409
CLTC	FMR1	9606.ENSP00000479606	9606.ENSP00000359506	0	0	0	0	0.055	0.071	0	0.432	0.457
CLTC	PTEN	9606.ENSP00000479606	9606.ENSP00000361021	0	0	0	0	0.042	0.305	0	0.174	0.402
CLTC	DNM1	9606.ENSP00000479606	9606.ENSP00000362014	0	0	0	0	0.055	0.299	0.500	0.844	0.941
CLTC	STXBP1	9606.ENSP00000479606	9606.ENSP00000362399	0	0	0	0	0.099	0.095	0	0.501	0.558
CLTC	PRKAR1A	9606.ENSP00000479606	9606.ENSP00000376475	0	0	0	0	0.138	0	0.400	0.305	0.609
CLTC	SYNJ1	9606.ENSP00000479606	9606.ENSP00000409667	0	0	0	0	0.060	0.479	0.540	0.721	0.928
CLTC	NECAP1	9606.ENSP00000479606	9606.ENSP00000491067	0	0	0	0	0	0.143	0.540	0.400	0.743
CNKSR2	KDM5C	9606.ENSP00000368824	9606.ENSP00000364550	0	0	0	0	0.087	0	0	0.490	0.514
CNKSR2	SHANK3	9606.ENSP00000368824	9606.ENSP00000489407	0	0	0	0	0.056	0.105	0	0.356	0.409
CREBBP	YY1	9606.ENSP00000262367	9606.ENSP00000262238	0	0	0	0	0.157	0.330	0.800	0.622	0.951
CREBBP	NIPBL	9606.ENSP00000262367	9606.ENSP00000282516	0	0	0	0	0.174	0	0	0.311	0.407
CREBBP	RREB1	9606.ENSP00000262367	9606.ENSP00000369270	0	0	0	0	0.099	0.091	0	0.345	0.417
CREBBP	KDM5C	9606.ENSP00000262367	9606.ENSP00000364550	0	0	0	0	0.202	0	0	0.356	0.465
CREBBP	PLXND1	9606.ENSP00000262367	9606.ENSP00000317128	0	0	0	0	0.042	0	0.500	0	0.500
CREBBP	PTEN	9606.ENSP00000262367	9606.ENSP00000361021	0	0	0	0	0.075	0.088	0	0.511	0.552
CREBBP	MED13L	9606.ENSP00000262367	9606.ENSP00000281928	0	0	0	0	0.266	0	0.500	0.190	0.677
CREBBP	DYRK1A	9606.ENSP00000262367	9606.ENSP00000340373	0	0	0	0	0.301	0.505	0	0.185	0.694
CREBBP	PIK3CA	9606.ENSP00000262367	9606.ENSP00000263967	0	0	0	0	0.092	0	0	0.680	0.697
CREBBP	HDAC8	9606.ENSP00000262367	9606.ENSP00000362674	0	0	0	0	0	0.094	0.500	0.434	0.721
CREBBP	MED12	9606.ENSP00000262367	9606.ENSP00000363193	0	0	0	0	0.249	0	0.500	0.359	0.738
CREBBP	HDAC4	9606.ENSP00000262367	9606.ENSP00000264606	0	0	0	0	0.085	0.090	0.500	0.460	0.745
CREBBP	SIN3A	9606.ENSP00000262367	9606.ENSP00000378402	0	0	0	0	0.251	0.099	0.500	0.452	0.790
CREBBP	SMAD4	9606.ENSP00000262367	9606.ENSP00000341551	0	0	0	0	0.191	0.316	0	0.862	0.917
CREBBP	FGFR1	9606.ENSP00000262367	9606.ENSP00000393312	0	0	0	0	0.049	0.779	0	0.663	0.923
CREBBP	TCF12	9606.ENSP00000262367	9606.ENSP00000388940	0	0	0	0	0.044	0.927	0	0.158	0.937
CYFIP2	FMR1	9606.ENSP00000479719	9606.ENSP00000359506	0	0	0	0	0.044	0.568	0.900	0.987	0.999
CYFIP2	GRIA3	9606.ENSP00000479719	9606.ENSP00000481554	0	0	0	0	0.055	0	0	0.443	0.451
CYFIP2	SHANK3	9606.ENSP00000479719	9606.ENSP00000489407	0	0	0	0	0	0.100	0	0.523	0.552
CYP27A1	DHCR7	9606.ENSP00000258415	9606.ENSP00000347717	0	0	0	0	0.046	0.118	0.825	0.603	0.933
DHCR7	STS	9606.ENSP00000347717	9606.ENSP00000217961	0	0	0	0	0	0	0.800	0.105	0.813
DHDDS	PARS2	9606.ENSP00000353104	9606.ENSP00000360327	0.111	0	0	0	0.598	0	0	0	0.627
DHDDS	NUS1	9606.ENSP00000353104	9606.ENSP00000357480	0	0	0	0	0.095	0.846	0.900	0.904	0.998
DMPK	FMR1	9606.ENSP00000345997	9606.ENSP00000359506	0	0	0	0	0	0.071	0	0.440	0.457
DNM1	DYRK1A	9606.ENSP00000362014	9606.ENSP00000340373	0	0	0	0	0	0.516	0	0.351	0.672
DNM1	SCN8A	9606.ENSP00000362014	9606.ENSP00000346534	0	0	0	0	0.106	0.053	0	0.369	0.419
DNM1	STXBP1	9606.ENSP00000362014	9606.ENSP00000362399	0	0	0	0	0.190	0.091	0	0.708	0.766
DNM1	SYNJ1	9606.ENSP00000362014	9606.ENSP00000409667	0	0	0	0	0	0.098	0	0.867	0.874
DPYD	SLC1A2	9606.ENSP00000359211	9606.ENSP00000278379	0.057	0	0	0	0	0	0	0.401	0.410
DPYD	MTHFR	9606.ENSP00000359211	9606.ENSP00000365770	0.110	0	0	0	0.105	0	0	0.695	0.736
DYRK1A	TSC2	9606.ENSP00000340373	9606.ENSP00000219476	0	0	0	0	0.069	0.510	0	0.245	0.625
DYRK1A	MED13L	9606.ENSP00000340373	9606.ENSP00000281928	0	0	0	0	0.575	0	0	0.595	0.820
DYRK1A	TSC1	9606.ENSP00000340373	9606.ENSP00000298552	0	0	0	0	0.094	0.609	0	0.226	0.702
DYRK1A	YWHAG	9606.ENSP00000340373	9606.ENSP00000306330	0	0	0	0	0.060	0.363	0	0.381	0.597
DYRK1A	SOX2	9606.ENSP00000340373	9606.ENSP00000323588	0	0	0	0	0	0	0	0.487	0.487
DYRK1A	MAOA	9606.ENSP00000340373	9606.ENSP00000340684	0	0	0	0	0	0	0	0.400	0.400
DYRK1A	KDM5C	9606.ENSP00000340373	9606.ENSP00000364550	0	0	0	0	0.088	0	0	0.370	0.401
DYRK1A	SHANK3	9606.ENSP00000340373	9606.ENSP00000489407	0	0	0	0	0	0.064	0	0.432	0.446
DYRK1A	SATB2	9606.ENSP00000340373	9606.ENSP00000401112	0	0	0	0	0	0.091	0	0.492	0.519
DYRK1A	TBR1	9606.ENSP00000340373	9606.ENSP00000374205	0	0	0	0	0	0	0	0.615	0.615
DYRK1A	PRKAR1A	9606.ENSP00000340373	9606.ENSP00000376475	0	0	0	0	0.093	0.610	0	0.116	0.660
DYRK1A	FMR1	9606.ENSP00000340373	9606.ENSP00000359506	0	0	0	0	0.183	0	0	0.606	0.664
DYRK1A	SLC13A5	9606.ENSP00000340373	9606.ENSP00000406220	0	0	0	0	0	0	0	0.702	0.702
DYRK1A	SYNJ1	9606.ENSP00000340373	9606.ENSP00000409667	0	0	0	0	0.075	0.128	0	0.695	0.733
EEF1A2	RPL10	9606.ENSP00000217182	9606.ENSP00000413436	0	0	0	0	0.293	0.045	0	0.396	0.557
EHMT1	HDAC4	9606.ENSP00000417980	9606.ENSP00000264606	0.042	0	0	0	0.067	0.127	0	0.356	0.431
EHMT1	KDM5C	9606.ENSP00000417980	9606.ENSP00000364550	0	0	0	0	0.175	0.154	0	0.447	0.580
EHMT1	SIN3A	9606.ENSP00000417980	9606.ENSP00000378402	0	0	0	0	0.163	0.069	0	0.296	0.404
FGF12	SCN8A	9606.ENSP00000413496	9606.ENSP00000346534	0	0	0	0	0.076	0.138	0	0.400	0.480
FGF12	FGFR1	9606.ENSP00000413496	9606.ENSP00000393312	0	0	0	0	0	0.168	0	0.736	0.771
FGF12	FGF13	9606.ENSP00000413496	9606.ENSP00000396198	0	0	0.051	0.949	0.085	0	0	0.483	0.512
FGF13	PIK3CA	9606.ENSP00000396198	9606.ENSP00000263967	0	0	0	0	0	0	0	0.481	0.481
FGF13	SCN3A	9606.ENSP00000396198	9606.ENSP00000283254	0	0	0	0	0.054	0.797	0	0.082	0.808
FGF13	SOX2	9606.ENSP00000396198	9606.ENSP00000323588	0	0	0	0	0.062	0	0	0.762	0.767
FGF13	SCN8A	9606.ENSP00000396198	9606.ENSP00000346534	0	0	0	0	0	0.306	0	0.258	0.463
FGF13	PTEN	9606.ENSP00000396198	9606.ENSP00000361021	0	0	0	0	0	0	0	0.412	0.412
FGF13	FGFR1	9606.ENSP00000396198	9606.ENSP00000393312	0	0	0	0	0	0.168	0	0.998	0.998
FGF13	OTX2	9606.ENSP00000396198	9606.ENSP00000500595	0	0	0	0	0.045	0.058	0	0.454	0.465
FGFR1	PROKR2	9606.ENSP00000393312	9606.ENSP00000217270	0	0	0	0	0	0	0	0.817	0.817
FGFR1	TSC2	9606.ENSP00000393312	9606.ENSP00000219476	0	0	0	0	0	0	0	0.422	0.422
FGFR1	PIK3CA	9606.ENSP00000393312	9606.ENSP00000263967	0	0	0	0	0	0.087	0.900	0.777	0.977
FGFR1	NTRK2	9606.ENSP00000393312	9606.ENSP00000277120	0	0	0	0.636	0	0.074	0	0.477	0.494
FGFR1	SOX2	9606.ENSP00000393312	9606.ENSP00000323588	0	0	0	0	0.079	0	0	0.570	0.587
FGFR1	SMAD4	9606.ENSP00000393312	9606.ENSP00000341551	0	0	0	0	0	0.046	0	0.586	0.588
FGFR1	PTEN	9606.ENSP00000393312	9606.ENSP00000361021	0	0	0	0	0	0.063	0	0.675	0.682
FGFR1	HESX1	9606.ENSP00000393312	9606.ENSP00000498190	0	0	0	0	0	0.045	0	0.406	0.408
FMR1	TSC2	9606.ENSP00000359506	9606.ENSP00000219476	0	0	0	0	0.049	0	0	0.616	0.619
FMR1	NTRK2	9606.ENSP00000359506	9606.ENSP00000277120	0	0	0	0	0	0.048	0	0.422	0.426
FMR1	TSC1	9606.ENSP00000359506	9606.ENSP00000298552	0	0	0	0	0.049	0.069	0	0.467	0.487
FMR1	YWHAG	9606.ENSP00000359506	9606.ENSP00000306330	0	0	0	0	0.049	0	0	0.455	0.460
FMR1	GATM	9606.ENSP00000359506	9606.ENSP00000379895	0	0	0	0	0.065	0	0	0.403	0.418
FMR1	SNRPN	9606.ENSP00000359506	9606.ENSP00000494831	0	0	0	0	0	0	0	0.418	0.418
FMR1	SLC9A6	9606.ENSP00000359506	9606.ENSP00000359729	0	0	0	0	0.259	0	0	0.248	0.418
FMR1	PTEN	9606.ENSP00000359506	9606.ENSP00000361021	0	0	0	0	0.056	0.046	0	0.535	0.545
FMR1	NLGN4X	9606.ENSP00000359506	9606.ENSP00000370483	0	0	0	0	0.084	0	0	0.770	0.781
FMR1	SHANK3	9606.ENSP00000359506	9606.ENSP00000489407	0	0	0	0	0	0	0	0.856	0.856
GABRA2	GABRB2	9606.ENSP00000427603	9606.ENSP00000274547	0	0	0.113	0.821	0.175	0.189	0.540	0.417	0.812
